pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_met
TOI-1799 b,TOI-1799,1,1,1,Transit,2024,7.094570865,0.072502,1.642,,,5690,
TOI-1801 b,TOI-1801,1,2,1,Transit,2023,10.64387,,2.079,5.738,493.7,3863,-0.19
TOI-1803 b,TOI-1803,1,1,2,Transit,2025,6.293287,0.06,2.99,10.32,747,4687,0.014
TOI-1803 c,TOI-1803,1,1,2,Transit,2025,12.885779,0.097,4.29,8,588,4687,0.014
TOI-1806.01,TOI-1806,1,1,1,Transit,2024,15.1454693,0.087735044,3.4095367,,337.47,3272,
TOI-1807 b,TOI-1807,1,1,1,Transit,2021,0.54937097,0.0122,1.49681583,2.44,1694.1,4914,0.044
TOI-181 b,TOI-181,1,1,1,Transit,2023,4.532,0.0539,6.9559,46.1687,895.1,4994,0.272
TOI-1811 b,TOI-1811,1,1,1,Transit,2023,3.7130765,0.04389,11.14172682,308.9292116,962.2,4766,0.306
TOI-1820 b,TOI-1820,1,1,1,Transit,2022,4.860674,0.061,12.778238,731.0053361,1375,5734,0.14
TOI-1823 b,TOI-1823,1,1,1,Transit,2024,38.8,0.212,7.5406241,67.4,423.63,4927,0.243
TOI-1824 b,TOI-1824,1,1,1,Transit,2024,22.808533,0.151,2.7438269,16,528.67,5165,0.124
TOI-1836 b,TOI-1836,1,1,2,Transit,2024,20.380799,0.1597,8.00321222,38.45723725,966,6380,-0.101
TOI-1836 c,TOI-1836,1,1,2,Transit,2024,1.7727471,0.03089,2.59987579,8,2007.6,6237,-0.136
TOI-1842 b,TOI-1842,1,1,1,Transit,2021,9.5739181,0.1,12.3485023,89.4,1199.55,6039,0.332
TOI-1846 b,TOI-1846,1,1,1,Transit,2025,3.9306737,0.03646,1.792,,568.1,3568,0.169
TOI-1853 b,TOI-1853,1,1,1,Transit,2023,1.2436258,0.0213,3.46,73.2,1479,4985,0.11
TOI-1855 b,TOI-1855,1,1,1,Transit,2024,1.36414864,0.02398,18.49481816,360.0995851,1701,5359,0.399
TOI-1859 b,TOI-1859,1,1,1,Transit,2023,63.48347,0.337,9.75181321,,,6341,0.12
